用户ID, 用户昵称, 用户头像地址, 评论时间, 点赞总数, 评论内容
133976952, Jax-砚喆, http://p1.music.126.net/dPLS8UFaMIp2gCNDfczPvg==/1390882211291961.jpg, 1508261938594, 1, 听不懂窦唯的人，他的生活一定很幸福。
466545116, 葬花残, http://p1.music.126.net/wrGsXPRFSATsIt5DHpdsUg==/18959978509757566.jpg, 1508261796816, 0, 哈哈这我不喜欢
368029818, 逆光巡游, http://p1.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg, 1508261054299, 0, 很切题的音乐🎵
109493390, Eden9, http://p1.music.126.net/69ph_BBN3JwwM5AfMQONbA==/109951162990870217.jpg, 1508261035725, 0, [可爱]
95677189, 鞋底有洞, http://p1.music.126.net/lxUbd8q8WGWr_lR-iyR4Ag==/109951162974445172.jpg, 1508260645115, 0, 哇，听不了听不了……欣赏不来
452711532, 雪飘亚洲, http://p1.music.126.net/Q5APGWy4b_fS885AbBsVyg==/18550960185699885.jpg, 1508260367977, 0, 怎么想起代言游戏👾👾想不通了
108168939, AL-LY, http://p1.music.126.net/gLH_aKBO4TAzg5WTfcK0LQ==/528865127059661.jpg, 1508259890424, 0, 清浊自甚，神灵明鉴。就歌论歌不好吗
255842595, Deckson, http://p1.music.126.net/_fxtfQIu0UAdwoPKPvlkNw==/18660911348554400.jpg, 1508259504272, 0, 趁个热闹
127797529, 济南市市草, http://p1.music.126.net/5goQumrDrXQAsBsdzv1IiA==/109951162887496434.jpg, 1508258832107, 1, 像是做音乐走火入魔的天才。窦仙儿加油
427524534, 南京约广厦, http://p1.music.126.net/d035hu_9RAGBn_C--eUlUg==/18528969953106777.jpg, 1508257473695, 0, 窦魔儿
300617423, 麻小生没有新生活, http://p1.music.126.net/TUmGazhNihYMC6ThMSTTQQ==/1394180756945403.jpg, 1508257442215, 0, 既然是仙，为何造魔音？都是阴谋，魔高一丈
136336782, 何hehehehe, http://p1.music.126.net/izA1ZWgAkveWvMLnA9ZWHg==/18550960185829555.jpg, 1508257255777, 0, 这么快999了。
441211320, 随风多云, http://p1.music.126.net/UypUy5coooEaDBMbK_EQ2g==/19000660439721497.jpg, 1508256828330, 0, 乱笔笔懂意义吗？乱评论..魔域主题绝配
274532717, 夜歌者也, http://p1.music.126.net/0bJ1abxLgXGcll8xojXIlw==/109951162860774444.jpg, 1508256519044, 0, 窦唯变仙了，俗人如我难懂
12541622, zard521, http://p1.music.126.net/GHLH5qFDS_VqyPRsWfk-_Q==/5975845697265177.jpg, 1508256223669, 2, 优秀的作品！在国际滚圈也拿的出手。你听惯了爱情买卖，当然觉得难听。爱马仕又不是给普通百姓设计的。
133141273, 焦躁的情绪-77, http://p1.music.126.net/jE9ZdBjHWdBcd1izS2po_w==/109951163029466291.jpg, 1508256215017, 0, 说来惭愧, 还没有买过，受教了, 谢谢
9660342, Far-East-Metal, http://p1.music.126.net/uEqmFh-YR7S-47Ux__eq_Q==/109951162878648116.jpg, 1508255792541, 0, 已买17张，那你呢？
292086239, 大壮与民谣, http://p1.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg, 1508254483930, 0, 其实我觉得窦唯不发声更好，或者就像歌曲后面那样一直呢喃
133141273, 焦躁的情绪-77, http://p1.music.126.net/jE9ZdBjHWdBcd1izS2po_w==/109951163029466291.jpg, 1508254111209, 0, 好的
133141273, 焦躁的情绪-77, http://p1.music.126.net/jE9ZdBjHWdBcd1izS2po_w==/109951163029466291.jpg, 1508254100234, 0, 那你呢, 你买了吗
422479895, Choisen, http://p1.music.126.net/Z_KNwrfee_sWMAk4R4BKTQ==/109951163012427183.jpg, 1508252044340, 1, 套用一句话：窦唯没有死去，是我们死了
126853986, God_Loses_Luck, http://p1.music.126.net/izPbym7Co5WqqiMczD__Uw==/18745573743952099.jpg, 1508251378028, 0, 多年后再发声，你的声音还是那么让人着迷
133997016, 风语归, http://p1.music.126.net/zkgMEKqwt96tsTDoyeZEEw==/528865150566965.jpg, 1508251128467, 0, 腾讯视频，mv确实牛逼。
88733324, 緑川1019, http://p1.music.126.net/YpxdYNMFNKL5qe9MF__aGg==/3438172867041074.jpg, 1508251074446, 0, ……？？？
261660616, flicker-r, http://p1.music.126.net/xGaT8sgYddaSFJtHNrffJA==/1386484167538485.jpg, 1508251044324, 0, 旋律666
45099799, 疯子1949, http://p1.music.126.net/Yeq2z4X2KJqeBycRyplGbw==/109951162941101114.jpg, 1508250963486, 0, 窦唯太高级，吾辈听不懂
45099799, 疯子1949, http://p1.music.126.net/Yeq2z4X2KJqeBycRyplGbw==/109951162941101114.jpg, 1508250939472, 0, 窦唯这种唱法不太喜欢，搞首无地自容流行歌，能唱的。
431833434, 浮生轮月, http://p1.music.126.net/eBZJ7OkrADdIx8yxtTPl3A==/18549860674032984.jpg, 1508250728094, 1, 高级动物
